id,city,city_tier,age_group,fd_amount_l,fd_count,days_left,last_login_days,n_signals,has_early_withdrawal,has_no_login,has_competitor_browse,has_safety_check,has_support_ticket,has_rate_compare,has_mf_browse,has_stocks_search,persona,outcome,risk_score,urgency
966,Mumbai,1,mid,0.71,5,30,25,2,0,0,1,0,0,1,0,0,Exiter,Churn,29,28
967,Hyderabad,1,mid,5.35,3,15,7,2,0,0,0,0,1,0,0,1,Protector,Renew,13,15
968,Kolkata,1,mid,3.32,1,2,1,4,1,0,0,0,1,1,1,0,Optimizer,Renew,63,66
969,Bengaluru,1,mid,2.75,3,5,44,4,1,1,0,1,0,0,1,0,Exiter,Churn,73,62
970,Kolkata,1,senior,1.84,1,17,57,2,0,1,0,1,0,0,0,0,Exiter,Churn,37,40
971,Agra,3,mid,1.31,1,21,20,1,0,0,0,1,0,0,0,0,Protector,Renew,5,10
972,Hyderabad,1,senior,2.48,1,7,1,1,0,0,0,1,0,0,0,0,Protector,Renew,16,16
973,Lucknow,2,young,3.6,1,13,2,2,1,0,0,0,0,0,1,0,Optimizer,Upgrade,26,25
974,Hyderabad,1,senior,5.27,1,27,8,3,0,0,0,1,1,1,0,0,Anxious Saver,Withdraw,25,29
975,Kolkata,1,mid,4.08,1,14,8,3,1,0,0,0,0,1,1,0,Optimizer,Upgrade,36,32
976,Delhi,1,mid,3.32,3,15,15,1,0,0,0,1,0,0,0,0,Protector,Renew,7,8
977,Pune,1,young,3.18,5,15,10,0,0,0,0,0,0,0,0,0,Protector,Renew,0,0
978,Hyderabad,1,senior,6.5,3,28,43,3,0,1,1,1,0,0,0,0,Exiter,Churn,59,59
979,Kolkata,1,mid,3.01,4,11,1,3,0,0,1,1,1,0,0,0,Protector,Renew,44,43
980,Indore,2,mid,3.53,1,12,52,3,0,1,0,0,1,1,0,0,Exiter,Churn,62,62
981,Mumbai,1,senior,1.68,1,24,7,2,0,0,1,1,0,0,0,0,Protector,Renew,18,12
982,Kolkata,1,mid,3.75,2,20,12,2,0,0,0,0,1,0,1,0,Optimizer,Renew,1,2
983,Varanasi,3,young,1.13,2,24,10,3,1,0,0,1,0,1,0,0,Protector,Renew,38,38
984,Bengaluru,1,mid,19.07,4,9,52,4,1,1,0,0,1,1,0,0,Exiter,Churn,77,74
985,Bengaluru,1,mid,1.85,2,15,8,3,0,0,0,1,0,1,1,0,Protector,Renew,3,4
986,Indore,2,mid,3.02,1,4,38,3,0,1,1,1,0,0,0,0,Exiter,Withdraw,67,65
987,Kolkata,1,mid,3.88,3,8,6,4,1,0,1,0,1,1,0,0,Exiter,Churn,71,78
988,Nagpur,2,young,1.36,3,20,39,3,0,1,0,1,1,0,0,0,Anxious Saver,Withdraw,51,50
989,Kolkata,1,mid,21.85,2,28,5,2,0,0,0,0,0,1,1,0,Optimizer,Upgrade,0,0
990,Varanasi,3,mid,0.73,1,7,7,2,0,0,0,1,0,1,0,0,Protector,Renew,30,32
991,Bengaluru,1,senior,22.36,2,25,47,2,0,1,0,0,0,0,1,0,Exiter,Churn,26,28
992,Kochi,2,senior,1.46,1,24,8,3,0,0,0,1,0,1,1,0,Optimizer,Upgrade,3,0
993,Delhi,1,senior,4.81,1,14,4,2,0,0,0,0,0,1,1,0,Optimizer,Renew,8,9
994,Bhopal,3,mid,1.65,4,23,3,2,0,0,0,0,1,0,1,0,Optimizer,Upgrade,8,9
995,Mumbai,1,young,8.72,1,6,36,3,0,1,0,1,0,0,1,0,Exiter,Churn,46,48
996,Chennai,1,mid,9.62,3,11,1,3,0,0,0,1,0,1,1,0,Optimizer,Upgrade,14,14
997,Ahmedabad,1,young,2.28,4,7,43,2,0,1,0,1,0,0,0,0,Exiter,Withdraw,50,52
998,Chennai,1,mid,3.64,2,4,1,3,0,0,1,1,0,1,0,0,Protector,Upgrade,49,49
999,Patna,3,mid,1.76,2,4,28,3,1,1,0,1,0,0,0,0,Exiter,Churn,73,74
1000,Mumbai,1,young,8.46,2,13,16,1,1,0,0,0,0,0,0,0,Exiter,Withdraw,38,37
1001,Patna,3,young,0.86,5,28,9,3,1,0,0,0,0,1,0,1,Optimizer,Renew,31,31
1002,Bengaluru,1,senior,3.96,1,24,12,2,0,0,0,1,0,1,0,0,Protector,Upgrade,13,14
1003,Delhi,1,senior,5.95,1,22,21,3,1,0,0,1,0,0,1,0,Anxious Saver,Withdraw,28,29
1004,Ahmedabad,1,senior,7.81,1,4,12,2,0,0,0,1,0,1,0,0,Protector,Renew,23,25
1005,Chennai,1,senior,8.09,1,9,32,3,0,0,0,0,1,1,0,1,Anxious Saver,Withdraw,31,31
1006,Bengaluru,1,mid,6.91,1,6,47,3,0,1,0,1,0,0,1,0,Exiter,Churn,50,53
1007,Kolkata,1,mid,7.61,2,16,4,1,0,0,0,0,1,0,0,0,Protector,Renew,12,12
1008,Kochi,2,young,5.35,3,3,28,1,1,0,0,0,0,0,0,0,Exiter,Withdraw,50,50
1009,Kolkata,1,young,11.8,1,22,12,2,0,0,0,0,1,0,1,0,Anxious Saver,Withdraw,13,9
1010,Kolkata,1,mid,7.01,2,15,3,3,0,0,0,1,1,1,0,0,Protector,Renew,21,21
1011,Coimbatore,2,young,1.58,1,29,12,1,0,0,0,0,1,0,0,0,Anxious Saver,Renew,4,2
1012,Patna,3,young,3.18,3,15,8,1,0,0,0,0,1,0,0,0,Anxious Saver,Withdraw,15,10
1013,Mumbai,1,mid,6.45,2,20,28,4,1,1,0,1,0,1,0,0,Exiter,Churn,70,71
1014,Mumbai,1,mid,6.51,4,10,37,3,0,1,0,1,0,0,1,0,Exiter,Churn,42,43
1015,Hyderabad,1,mid,0.76,1,17,3,1,0,0,0,1,0,0,0,0,Protector,Withdraw,8,5
1016,Lucknow,2,mid,7.31,2,2,4,2,1,0,0,0,1,0,0,0,Exiter,Withdraw,55,54
1017,Mumbai,1,mid,5.91,1,19,13,2,0,0,0,1,0,1,0,0,Protector,Renew,15,18
1018,Ahmedabad,1,mid,3.57,3,29,16,2,1,0,0,0,0,1,0,0,Exiter,Churn,42,42
1019,Bengaluru,1,senior,2.38,1,1,13,4,1,0,0,1,1,0,1,0,Anxious Saver,Renew,49,45
1020,Pune,1,mid,5.69,2,7,17,3,1,0,1,1,0,0,0,0,Exiter,Churn,66,61
1021,Trivandrum,3,mid,1.24,2,17,12,1,0,0,0,1,0,0,0,0,Protector,Renew,2,0
1022,Mumbai,1,senior,9.09,2,25,6,1,1,0,0,0,0,0,0,0,Exiter,Churn,20,24
1023,Delhi,1,young,7.05,1,1,34,1,0,0,0,0,1,0,0,0,Anxious Saver,Renew,43,42
1024,Vadodara,2,senior,3.64,2,1,54,4,0,1,1,1,1,0,0,0,Exiter,Churn,86,91
1025,Chennai,1,mid,2.59,1,22,15,3,1,0,0,1,0,0,1,0,Anxious Saver,Withdraw,34,27
1026,Mumbai,1,mid,4.56,2,21,13,0,0,0,0,0,0,0,0,0,Protector,Upgrade,6,8
1027,Agra,3,senior,1.79,1,1,48,3,1,1,0,0,0,1,0,0,Exiter,Churn,92,93
1028,Pune,1,mid,2.43,2,5,16,1,0,0,0,1,0,0,0,0,Protector,Renew,21,15
1029,Pune,1,senior,7.47,2,10,54,3,1,0,0,1,0,1,0,0,Anxious Saver,Renew,55,56
1030,Nagpur,2,mid,3.35,2,16,4,4,1,0,1,1,1,0,0,0,Anxious Saver,Renew,58,59
1031,Surat,3,senior,1.52,1,20,17,2,0,0,0,1,0,1,0,0,Protector,Renew,19,15
1032,Kolkata,1,mid,3.79,2,2,4,1,0,0,0,0,0,0,1,0,Optimizer,Upgrade,14,10
1033,Ahmedabad,1,mid,2.01,2,8,52,3,0,1,0,1,0,0,1,0,Exiter,Withdraw,37,37
1034,Mumbai,1,senior,4.23,1,29,3,3,1,0,0,1,0,1,0,0,Protector,Renew,37,35
1035,Chennai,1,mid,0.99,1,29,3,2,0,0,0,0,1,1,0,0,Protector,Renew,30,29
1036,Hyderabad,1,mid,8.22,2,23,14,1,1,0,0,0,0,0,0,0,Exiter,Churn,29,29
1037,Patna,3,young,3.51,1,5,53,3,0,1,0,1,0,0,0,1,Exiter,Churn,51,48
1038,Nagpur,2,mid,6.17,1,4,14,1,0,0,0,1,0,0,0,0,Anxious Saver,Renew,14,13
1039,Delhi,1,young,7.94,1,5,5,2,0,0,0,1,1,0,0,0,Anxious Saver,Renew,34,29
1040,Nagpur,2,mid,0.81,1,30,19,1,0,0,0,0,0,0,0,1,Protector,Withdraw,1,3
1041,Kolkata,1,mid,1.84,1,25,8,1,0,0,0,0,0,1,0,0,Protector,Renew,11,12
1042,Bengaluru,1,young,4.28,2,24,53,3,0,1,0,1,1,0,0,0,Anxious Saver,Withdraw,43,42
1043,Surat,3,mid,2.15,1,3,30,3,0,1,0,1,0,0,1,0,Exiter,Withdraw,41,38
1044,Hyderabad,1,mid,3.71,2,2,9,3,1,0,1,0,0,0,1,0,Exiter,Churn,58,56
1045,Kochi,2,mid,3.24,2,9,10,1,1,0,0,0,0,0,0,0,Exiter,Churn,24,26
1046,Hyderabad,1,senior,1.59,1,28,7,0,0,0,0,0,0,0,0,0,Protector,Renew,4,0
1047,Jaipur,2,senior,3.18,3,25,10,2,0,0,0,0,1,0,1,0,Optimizer,Upgrade,11,11
1048,Chandigarh,2,mid,3.13,2,7,11,3,1,0,0,1,0,1,0,0,Protector,Renew,48,47
1049,Chennai,1,young,1.54,1,26,1,3,0,0,0,1,1,1,0,0,Protector,Renew,30,31
1050,Kochi,2,mid,2.89,2,24,14,0,0,0,0,0,0,0,0,0,Protector,Renew,0,0
1051,Jaipur,2,senior,13.06,1,16,1,2,0,0,0,0,0,0,1,1,Optimizer,Renew,0,0
1052,Kolkata,1,mid,1.95,2,15,3,1,0,0,1,0,0,0,0,0,Protector,Renew,15,15
1053,Bhopal,3,senior,2.34,2,5,3,5,1,0,1,1,0,0,1,1,Exiter,Churn,59,58
1054,Chennai,1,mid,9.4,2,24,1,2,0,0,1,1,0,0,0,0,Protector,Renew,28,26
1055,Bengaluru,1,mid,4.07,2,13,25,0,0,0,0,0,0,0,0,0,Exiter,Withdraw,8,6
1056,Hyderabad,1,mid,2.17,1,3,29,2,0,0,0,1,0,0,1,0,Exiter,Churn,20,17
1057,Chandigarh,2,senior,1.92,1,18,12,1,0,0,0,1,0,0,0,0,Protector,Withdraw,7,7
1058,Coimbatore,2,senior,2.11,3,27,1,1,0,0,0,1,0,0,0,0,Protector,Renew,2,5
1059,Lucknow,2,young,3.11,2,22,1,3,1,0,1,0,0,1,0,0,Exiter,Withdraw,58,56
1060,Chennai,1,senior,1.62,4,5,54,1,0,1,0,0,0,0,0,0,Exiter,Churn,49,44
1061,Surat,3,senior,3.52,1,29,3,4,0,0,0,1,1,1,1,0,Optimizer,Renew,19,17
1062,Chennai,1,senior,13.44,4,17,8,2,0,0,1,1,0,0,0,0,Protector,Renew,21,19
1063,Trivandrum,3,mid,1.52,2,29,8,1,0,0,0,0,0,0,1,0,Protector,Renew,0,4
1064,Delhi,1,mid,1.98,1,21,2,3,1,0,0,1,0,1,0,0,Protector,Renew,35,31
1065,Nagpur,2,young,2.75,2,23,7,2,0,0,0,1,0,1,0,0,Protector,Renew,9,12
1066,Chandigarh,2,young,4.67,2,4,1,3,1,0,0,1,1,0,0,0,Anxious Saver,Withdraw,57,59
1067,Trivandrum,3,senior,2.18,5,18,5,1,0,0,0,0,0,0,0,1,Protector,Renew,0,4
1068,Varanasi,3,senior,1.25,1,4,17,3,1,0,0,1,0,1,0,0,Exiter,Withdraw,60,58
1069,Chennai,1,senior,7.46,1,2,4,2,0,0,1,1,0,0,0,0,Protector,Renew,41,37
1070,Surat,3,mid,0.91,3,14,3,1,0,0,0,0,0,0,1,0,Optimizer,Upgrade,3,0
1071,Varanasi,3,mid,1.39,4,14,3,3,0,0,1,1,0,1,0,0,Protector,Renew,34,30
1072,Ahmedabad,1,senior,16.16,1,28,2,0,0,0,0,0,0,0,0,0,Protector,Renew,0,1
1073,Chennai,1,mid,11.34,2,8,4,1,0,0,0,0,0,0,1,0,Optimizer,Upgrade,0,2
1074,Delhi,1,young,1.58,3,5,4,0,0,0,0,0,0,0,0,0,Exiter,Churn,6,7
1075,Kochi,2,young,2.94,1,8,22,3,1,0,0,1,1,0,0,0,Anxious Saver,Withdraw,50,49
1076,Kochi,2,mid,1.98,2,2,5,2,0,0,0,1,0,0,0,1,Protector,Renew,19,20
1077,Kolkata,1,mid,6.18,2,12,6,1,0,0,1,0,0,0,0,0,Protector,Renew,27,25
1078,Coimbatore,2,young,0.61,4,5,15,2,0,0,0,1,1,0,0,0,Anxious Saver,Withdraw,31,32
1079,Pune,1,senior,11.23,1,22,5,1,0,0,0,0,1,0,0,0,Protector,Renew,14,12
1080,Bengaluru,1,mid,4.92,1,27,2,1,0,0,0,1,0,0,0,0,Protector,Renew,4,1
1081,Coimbatore,2,young,1.56,1,10,11,2,1,0,0,1,0,0,0,0,Protector,Renew,33,31
1082,Lucknow,2,mid,1.82,2,14,2,3,1,0,0,1,0,1,0,0,Protector,Renew,46,42
1083,Lucknow,2,senior,3.38,4,4,19,0,0,0,0,0,0,0,0,0,Protector,Withdraw,19,16
1084,Allahabad,3,mid,1.55,1,13,7,2,1,0,0,1,0,0,0,0,Protector,Withdraw,38,33
1085,Jaipur,2,senior,2.09,2,1,24,3,1,0,0,1,0,0,1,0,Exiter,Withdraw,49,48
1086,Kochi,2,young,4.41,1,10,17,1,1,0,0,0,0,0,0,0,Exiter,Churn,39,43
1087,Delhi,1,mid,4.34,2,10,50,1,0,1,0,0,0,0,0,0,Exiter,Withdraw,42,44
1088,Mumbai,1,mid,36.06,4,12,2,2,0,0,0,1,1,0,0,0,Protector,Renew,22,20
1089,Chandigarh,2,mid,2.17,3,5,30,4,0,1,1,1,0,1,0,0,Exiter,Churn,72,72
1090,Mysuru,3,senior,2.93,4,10,13,1,0,0,0,1,0,0,0,0,Protector,Upgrade,0,0
1091,Bhopal,3,young,2.32,4,13,26,0,0,0,0,0,0,0,0,0,Exiter,Churn,18,19
1092,Bhopal,3,young,2.17,2,5,14,0,0,0,0,0,0,0,0,0,Protector,Upgrade,7,2
1093,Delhi,1,senior,6.86,1,21,3,3,1,0,1,0,0,1,0,0,Exiter,Churn,56,53
1094,Allahabad,3,mid,3.35,2,12,17,1,0,0,0,0,0,1,0,0,Optimizer,Withdraw,23,23
1095,Bengaluru,1,mid,3.26,1,17,22,0,0,0,0,0,0,0,0,0,Exiter,Withdraw,12,13
1096,Kolkata,1,young,15.72,1,1,9,2,1,0,0,1,0,0,0,0,Exiter,Withdraw,51,51
1097,Patna,3,mid,2.89,2,7,7,1,1,0,0,0,0,0,0,0,Exiter,Churn,33,29
1098,Hyderabad,1,mid,3.32,2,1,36,4,1,1,1,1,0,0,0,0,Exiter,Churn,100,98
1099,Varanasi,3,mid,2.2,1,8,19,3,1,0,0,1,0,1,0,0,Anxious Saver,Withdraw,49,56
1100,Mumbai,1,young,4.86,1,9,3,2,1,0,0,1,0,0,0,0,Protector,Renew,43,42
1101,Chennai,1,young,5.75,1,26,9,2,0,0,1,1,0,0,0,0,Protector,Withdraw,21,21
1102,Jaipur,2,mid,2.63,1,17,11,1,0,0,0,0,1,0,0,0,Anxious Saver,Churn,11,10
1103,Nagpur,2,mid,1.75,3,15,6,2,0,0,0,0,0,1,1,0,Optimizer,Upgrade,4,3
1104,Allahabad,3,young,0.65,5,13,4,3,0,0,0,1,1,0,1,0,Protector,Renew,21,23
1105,Bhopal,3,mid,1.31,4,29,29,2,0,0,0,1,0,1,0,0,Protector,Renew,22,20
1106,Ahmedabad,1,young,2.18,1,21,4,2,0,0,0,1,1,0,0,0,Protector,Withdraw,15,18
1107,Nagpur,2,mid,1.51,1,24,2,1,0,0,0,1,0,0,0,0,Protector,Renew,0,8
1108,Mysuru,3,young,1.18,3,13,8,4,1,0,0,1,0,1,1,0,Optimizer,Upgrade,48,42
1109,Indore,2,mid,3.65,1,25,4,1,0,0,0,0,0,1,0,0,Optimizer,Withdraw,11,10
1110,Jaipur,2,young,1.68,3,21,24,2,1,0,0,1,0,0,0,0,Exiter,Churn,38,38
1111,Vadodara,2,young,3.64,2,4,3,1,1,0,0,0,0,0,0,0,Exiter,Withdraw,41,42
1112,Bengaluru,1,mid,2.51,2,2,32,2,0,1,0,0,1,0,0,0,Exiter,Withdraw,61,59
1113,Pune,1,young,2.62,3,3,1,4,1,0,1,1,0,1,0,0,Exiter,Withdraw,70,67
1114,Coimbatore,2,mid,1.1,2,10,10,1,0,0,0,1,0,0,0,0,Protector,Renew,19,27
1115,Lucknow,2,mid,2.19,1,9,5,4,1,0,1,1,0,1,0,0,Exiter,Withdraw,59,62
1116,Delhi,1,mid,3.48,2,29,12,3,0,0,0,0,0,1,1,1,Optimizer,Renew,0,4
1117,Chennai,1,mid,24.73,1,22,5,0,0,0,0,0,0,0,0,0,Protector,Renew,0,0
1118,Hyderabad,1,senior,2.69,3,8,2,1,0,0,0,1,0,0,0,0,Protector,Withdraw,4,0
1119,Hyderabad,1,mid,3.49,1,13,13,1,0,0,0,1,0,0,0,0,Protector,Upgrade,19,18
1120,Hyderabad,1,mid,3.83,1,16,2,2,0,0,0,0,1,1,0,0,Protector,Renew,19,16
1121,Surat,3,mid,0.53,1,15,2,1,0,0,0,1,0,0,0,0,Protector,Upgrade,7,7
1122,Allahabad,3,mid,1.32,1,8,8,4,1,0,0,1,0,1,0,1,Protector,Renew,41,39
1123,Agra,3,young,1.85,1,22,8,2,1,0,0,0,1,0,0,0,Anxious Saver,Withdraw,35,31
1124,Jaipur,2,mid,5.41,1,19,7,2,0,0,0,1,0,1,0,0,Protector,Renew,8,8
1125,Kochi,2,mid,2.73,5,10,11,5,1,0,1,1,1,1,0,0,Anxious Saver,Withdraw,73,75
1126,Chennai,1,mid,3.91,3,3,48,3,1,0,0,1,0,1,0,0,Exiter,Churn,70,70
1127,Surat,3,mid,4.87,1,18,2,1,0,0,0,1,0,0,0,0,Protector,Withdraw,15,17
1128,Nagpur,2,mid,1.55,1,2,28,3,1,1,0,0,1,0,0,0,Exiter,Withdraw,79,81
1129,Allahabad,3,mid,0.92,3,22,5,1,0,0,0,1,0,0,0,0,Protector,Renew,6,7
1130,Bengaluru,1,mid,7.67,4,15,4,1,0,0,0,1,0,0,0,0,Protector,Renew,1,0
1131,Ahmedabad,1,mid,5.4,2,11,2,1,1,0,0,0,0,0,0,0,Exiter,Churn,34,33
1132,Bengaluru,1,mid,13.82,1,25,3,4,1,0,0,1,0,1,1,0,Optimizer,Renew,33,31
1133,Chennai,1,mid,1.03,1,6,42,3,0,1,0,1,1,0,0,0,Exiter,Churn,62,63
1134,Pune,1,young,18.12,1,2,34,5,1,1,0,1,1,1,0,0,Exiter,Withdraw,100,100
1135,Lucknow,2,mid,1.11,1,10,2,0,0,0,0,0,0,0,0,0,Protector,Renew,5,8
1136,Kolkata,1,young,5.36,2,21,7,2,0,0,0,1,0,1,0,0,Protector,Withdraw,16,19
1137,Delhi,1,mid,2.0,4,12,59,4,1,1,0,1,0,0,1,0,Exiter,Churn,63,61
1138,Delhi,1,young,4.95,1,10,2,1,0,0,0,0,0,1,0,0,Protector,Renew,14,11
1139,Lucknow,2,young,1.1,1,20,15,3,0,0,1,1,0,0,1,0,Protector,Withdraw,21,15
1140,Patna,3,young,3.48,4,7,4,2,1,0,0,0,0,1,0,0,Exiter,Churn,50,51
1141,Ahmedabad,1,mid,4.1,1,20,31,1,0,1,0,0,0,0,0,0,Exiter,Churn,32,32
1142,Kolkata,1,mid,3.22,2,11,33,2,0,1,1,0,0,0,0,0,Exiter,Withdraw,61,59
1143,Mysuru,3,senior,0.97,1,28,7,2,1,0,0,1,0,0,0,0,Protector,Renew,32,34
1144,Pune,1,mid,7.1,5,7,39,4,0,1,1,0,0,1,0,1,Exiter,Churn,72,73
1145,Hyderabad,1,mid,2.75,1,18,4,2,0,0,0,1,0,0,0,1,Protector,Upgrade,0,0
1146,Varanasi,3,senior,1.14,2,9,43,2,0,1,0,1,0,0,0,0,Exiter,Churn,49,52
1147,Lucknow,2,young,2.57,1,7,47,1,0,0,0,1,0,0,0,0,Exiter,Churn,30,30
1148,Nagpur,2,young,1.86,2,25,8,2,1,0,0,0,0,0,0,1,Exiter,Churn,16,16
1149,Agra,3,mid,1.92,2,13,1,0,0,0,0,0,0,0,0,0,Protector,Withdraw,7,2
1150,Pune,1,senior,4.93,1,9,1,2,1,0,0,0,0,1,0,0,Exiter,Withdraw,41,39
1151,Agra,3,senior,2.4,1,17,19,1,0,0,0,0,0,0,1,0,Optimizer,Upgrade,5,5
1152,Kolkata,1,mid,5.61,3,11,6,3,0,0,0,1,0,1,0,1,Protector,Renew,18,16
1153,Indore,2,mid,3.28,2,29,3,2,0,0,0,1,0,1,0,0,Protector,Renew,13,15
1154,Vadodara,2,mid,1.48,1,17,48,2,1,1,0,0,0,0,0,0,Exiter,Withdraw,52,50
1155,Hyderabad,1,mid,3.79,2,13,42,2,0,1,0,0,0,1,0,0,Exiter,Churn,53,52
1156,Jaipur,2,senior,0.93,2,28,9,2,0,0,0,1,0,1,0,0,Protector,Renew,13,11
1157,Allahabad,3,senior,1.11,2,17,4,2,0,0,1,1,0,0,0,0,Protector,Renew,24,25
1158,Bhopal,3,senior,2.36,1,10,3,2,1,0,0,1,0,0,0,0,Protector,Renew,35,34
1159,Kolkata,1,senior,4.91,1,11,27,3,0,1,0,1,0,1,0,0,Exiter,Churn,42,40
1160,Kolkata,1,mid,1.55,2,17,1,2,1,0,0,1,0,0,0,0,Protector,Renew,28,31
1161,Indore,2,young,2.6,1,10,34,2,0,1,0,1,0,0,0,0,Exiter,Withdraw,43,44
1162,Kolkata,1,senior,4.53,1,5,10,2,1,0,0,0,0,0,0,1,Exiter,Withdraw,41,42
1163,Ahmedabad,1,young,5.04,1,14,36,3,1,1,0,1,0,0,0,0,Exiter,Withdraw,73,68
1164,Mysuru,3,young,1.79,1,15,56,2,0,1,0,0,0,1,0,0,Exiter,Churn,34,30
1165,Chandigarh,2,mid,1.44,4,8,34,3,1,1,0,1,0,0,0,0,Exiter,Withdraw,78,73
1166,Pune,1,mid,5.41,3,23,23,1,0,0,0,0,0,1,0,0,Protector,Renew,14,18
1167,Pune,1,mid,3.33,2,30,25,0,0,0,0,0,0,0,0,0,Protector,Renew,7,10
1168,Surat,3,senior,0.81,2,5,59,3,0,1,0,0,1,0,1,0,Exiter,Churn,57,58
1169,Trivandrum,3,mid,2.1,4,7,35,3,0,1,0,1,0,0,1,0,Exiter,Withdraw,47,47
1170,Allahabad,3,senior,2.78,1,18,23,1,0,0,0,0,1,0,0,0,Anxious Saver,Churn,15,12
1171,Jaipur,2,senior,6.03,2,24,5,1,0,0,0,0,0,1,0,0,Protector,Upgrade,3,0
1172,Surat,3,young,2.38,1,28,13,2,0,0,0,1,0,1,0,0,Protector,Upgrade,12,12
1173,Delhi,1,mid,4.36,1,23,6,2,1,0,0,1,0,0,0,0,Protector,Renew,25,28
1174,Kochi,2,mid,1.33,1,16,12,1,0,0,0,1,0,0,0,0,Protector,Renew,7,4
1175,Chennai,1,mid,3.47,3,3,2,1,0,0,0,0,1,0,0,0,Protector,Renew,25,22
1176,Vadodara,2,senior,1.74,1,5,37,1,0,1,0,0,0,0,0,0,Exiter,Withdraw,44,45
1177,Chennai,1,senior,5.44,1,2,10,4,1,0,0,1,0,1,1,0,Exiter,Churn,56,57
1178,Hyderabad,1,mid,11.32,3,20,3,2,0,0,0,0,0,1,1,0,Optimizer,Withdraw,0,2
1179,Kolkata,1,mid,3.0,4,22,27,3,0,1,0,1,0,0,0,1,Exiter,Withdraw,29,20
1180,Vadodara,2,mid,1.73,2,11,2,2,1,0,0,0,0,1,0,0,Optimizer,Upgrade,39,36
1181,Bengaluru,1,mid,2.53,2,9,16,0,0,0,0,0,0,0,0,0,Protector,Renew,16,17
1182,Bengaluru,1,young,7.5,3,27,10,1,0,0,0,1,0,0,0,0,Protector,Withdraw,9,4
1183,Surat,3,senior,2.09,1,10,8,2,1,0,0,0,1,0,0,0,Anxious Saver,Renew,41,44
1184,Pune,1,young,1.52,2,5,1,1,0,0,0,0,0,0,1,0,Optimizer,Withdraw,8,16
1185,Ahmedabad,1,mid,4.04,1,29,5,3,1,0,0,1,0,0,1,0,Protector,Upgrade,26,24
1186,Ahmedabad,1,senior,5.83,1,19,4,1,0,0,0,0,0,1,0,0,Protector,Upgrade,7,3
1187,Pune,1,mid,2.39,1,20,7,0,0,0,0,0,0,0,0,0,Protector,Upgrade,0,0
1188,Kochi,2,mid,1.67,1,8,1,3,0,0,0,1,0,1,0,1,Protector,Renew,23,20
1189,Coimbatore,2,senior,1.17,1,19,21,1,0,0,0,0,0,1,0,0,Exiter,Withdraw,18,17
1190,Chennai,1,mid,11.77,2,19,26,1,0,0,0,1,0,0,0,0,Protector,Renew,4,8
1191,Agra,3,mid,1.94,1,1,18,3,1,0,1,1,0,0,0,0,Exiter,Churn,80,80
1192,Kochi,2,mid,1.51,2,8,39,4,0,1,1,1,0,0,0,1,Exiter,Withdraw,57,56
1193,Ahmedabad,1,senior,3.49,2,1,14,2,0,0,1,1,0,0,0,0,Exiter,Churn,42,48
1194,Ahmedabad,1,senior,2.49,4,23,4,0,0,0,0,0,0,0,0,0,Protector,Renew,0,6
1195,Ahmedabad,1,senior,2.15,2,10,1,1,0,0,1,0,0,0,0,0,Protector,Renew,28,25
1196,Pune,1,mid,1.9,1,26,55,2,0,0,1,1,0,0,0,0,Protector,Renew,37,42
1197,Mumbai,1,young,4.33,5,25,52,2,0,1,0,1,0,0,0,0,Exiter,Churn,37,35
1198,Bengaluru,1,young,2.76,3,10,8,2,0,0,0,1,0,0,1,0,Protector,Renew,5,4
1199,Coimbatore,2,mid,1.28,4,26,15,1,0,0,0,1,0,0,0,0,Protector,Renew,7,7
1200,Hyderabad,1,mid,4.08,3,17,16,1,1,0,0,0,0,0,0,0,Exiter,Churn,33,32
1201,Bhopal,3,senior,2.48,2,14,5,0,0,0,0,0,0,0,0,0,Protector,Renew,5,3
1202,Chennai,1,senior,7.72,1,3,3,3,1,0,0,0,1,0,1,0,Exiter,Churn,53,49
1203,Jaipur,2,young,4.34,3,26,8,2,0,0,0,1,0,1,0,0,Protector,Renew,12,16
1204,Kolkata,1,mid,5.25,2,28,5,1,0,0,0,0,0,1,0,0,Protector,Renew,9,7
1205,Delhi,1,senior,4.15,1,21,11,1,0,0,0,1,0,0,0,0,Protector,Renew,11,9
1206,Kolkata,1,senior,2.42,1,5,10,2,1,0,0,0,0,1,0,0,Exiter,Churn,46,40
1207,Delhi,1,mid,4.17,3,21,3,2,0,0,0,1,1,0,0,0,Protector,Upgrade,17,20
1208,Indore,2,young,2.14,4,15,4,2,1,0,0,0,0,1,0,0,Optimizer,Renew,25,22
1209,Mumbai,1,senior,4.68,1,19,18,4,0,0,0,1,1,1,0,1,Anxious Saver,Withdraw,27,27
1210,Pune,1,mid,9.11,1,8,42,2,0,1,0,0,0,0,0,1,Exiter,Withdraw,40,39
1211,Bengaluru,1,mid,2.05,2,18,4,1,0,0,0,1,0,0,0,0,Protector,Renew,7,10
1212,Vadodara,2,mid,2.12,1,14,7,1,0,0,0,1,0,0,0,0,Protector,Renew,9,6
1213,Hyderabad,1,young,2.97,2,24,39,4,0,1,0,1,1,0,1,0,Anxious Saver,Withdraw,35,37
1214,Lucknow,2,young,2.06,3,6,13,3,0,0,1,1,0,0,1,0,Protector,Renew,31,32
1215,Hyderabad,1,mid,4.4,1,7,18,1,0,0,0,0,1,0,0,0,Anxious Saver,Withdraw,36,39
1216,Bhopal,3,mid,2.1,1,28,32,3,1,1,0,1,0,0,0,0,Exiter,Withdraw,61,59
